"Plot Title: 20861215"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20861215, SEN S/N: 20861215)","Coupler Detached (LGR S/N: 20861215)","Coupler Attached (LGR S/N: 20861215)","Stopped (LGR S/N: 20861215)","End Of File (LGR S/N: 20861215)"
1,06/01/20 09:00:00 AM,18.485,Logged,,,
2,06/01/20 09:30:00 AM,18.129,,,,
3,06/01/20 10:00:00 AM,17.867,,,,
4,06/01/20 10:30:00 AM,17.439,,,,
5,06/01/20 11:00:00 AM,17.082,,,,
6,06/01/20 11:30:00 AM,17.320,,,,
7,06/01/20 12:00:00 PM,18.033,,,,
8,06/01/20 12:30:00 PM,18.771,,,,
9,06/01/20 01:00:00 PM,19.508,,,,
10,06/01/20 01:30:00 PM,21.199,,,,
11,06/01/20 02:00:00 PM,22.800,,,,
12,06/01/20 02:30:00 PM,24.436,,,,
13,06/01/20 03:00:00 PM,26.134,,,,
14,06/01/20 03:30:00 PM,27.014,,,,
15,06/01/20 04:00:00 PM,27.038,,,,
16,06/01/20 04:30:00 PM,20.913,,,,
17,06/01/20 05:00:00 PM,21.843,,,,
18,06/01/20 05:30:00 PM,21.390,,,,
19,06/01/20 06:00:00 PM,22.753,,,,
20,06/01/20 06:30:00 PM,24.726,,,,
21,06/01/20 07:00:00 PM,25.817,,,,
22,06/01/20 07:30:00 PM,26.695,,,,
23,06/01/20 08:00:00 PM,26.891,,,,
24,06/01/20 08:30:00 PM,26.451,,,,
25,06/01/20 09:00:00 PM,25.501,,,,
26,06/01/20 09:30:00 PM,24.122,,,,
27,06/01/20 10:00:00 PM,22.944,,,,
28,06/01/20 10:30:00 PM,21.652,,,,
29,06/01/20 11:00:00 PM,20.341,,,,
30,06/01/20 11:30:00 PM,19.032,,,,
31,06/02/20 12:00:00 AM,17.748,,,,
32,06/02/20 12:30:00 AM,16.534,,,,
33,06/02/20 01:00:00 AM,15.366,,,,
34,06/02/20 01:30:00 AM,14.290,,,,
35,06/02/20 02:00:00 AM,13.233,,,,
36,06/02/20 02:30:00 AM,12.171,,,,
37,06/02/20 03:00:00 AM,11.224,,,,
38,06/02/20 03:30:00 AM,10.320,,,,
39,06/02/20 04:00:00 AM,9.485,,,,
40,06/02/20 04:30:00 AM,8.668,,,,
41,06/02/20 05:00:00 AM,7.920,,,,
42,06/02/20 05:30:00 AM,7.318,,,,
43,06/02/20 06:00:00 AM,6.788,,,,
44,06/02/20 06:30:00 AM,6.484,,,,
45,06/02/20 07:00:00 AM,6.535,,,,
46,06/02/20 07:30:00 AM,6.737,,,,
47,06/02/20 08:00:00 AM,7.444,,,,
48,06/02/20 08:30:00 AM,11.151,,,,
49,06/02/20 09:00:00 AM,14.170,,,,
50,06/02/20 09:30:00 AM,16.058,,,,
51,06/02/20 10:00:00 AM,17.629,,,,
52,06/02/20 10:30:00 AM,18.866,,,,
53,06/02/20 11:00:00 AM,20.103,,,,
54,06/02/20 11:30:00 AM,20.865,,,,
55,06/02/20 12:00:00 PM,19.912,,,,
56,06/02/20 12:30:00 PM,20.007,,,,
57,06/02/20 01:00:00 PM,20.198,,,,
58,06/02/20 01:30:00 PM,20.341,,,,
59,06/02/20 02:00:00 PM,20.388,,,,
60,06/02/20 02:30:00 PM,20.412,,,,
61,06/02/20 03:00:00 PM,20.531,,,,
62,06/02/20 03:30:00 PM,19.912,,,,
63,06/02/20 04:00:00 PM,20.388,,,,
64,06/02/20 04:30:00 PM,20.746,,,,
65,06/02/20 05:00:00 PM,20.722,,,,
66,06/02/20 05:30:00 PM,20.412,,,,
67,06/02/20 06:00:00 PM,20.817,,,,
68,06/02/20 06:30:00 PM,20.722,,,,
69,06/02/20 07:00:00 PM,20.269,,,,
70,06/02/20 07:30:00 PM,19.532,,,,
71,06/02/20 08:00:00 PM,18.889,,,,
72,06/02/20 08:30:00 PM,18.247,,,,
73,06/02/20 09:00:00 PM,17.582,,,,
74,06/02/20 09:30:00 PM,17.011,,,,
75,06/02/20 10:00:00 PM,16.463,,,,
76,06/02/20 10:30:00 PM,15.939,,,,
77,06/02/20 11:00:00 PM,15.342,,,,
78,06/02/20 11:30:00 PM,14.673,,,,
